fry,class
d1,TRANSFERASE
d2,OXIDOREDUCTASE
d3,CHAPERONE
d4,OXIDOREDUCTASE
d5,TRANSFERASE
d6,Toxin/RNA
d7,ISOMERASE
d8,MEMBRANE PROTEIN
d9,SIGNALING PROTEIN
d10,TRANSFERASE(AMINOTRANSFERASE)
d11,MEMBRANE PROTEIN
d12,DNA binding protein/DNA
d13,TRANSPORT PROTEIN/DNA
d14,LIGASE
d15,IMMUNE SYSTEM
d16,UNKNOWN FUNCTION
d17,PROTEIN BINDING
d18,LUMINESCENT PROTEIN
d19,HYDROLASE/DNA
d20,PROTEIN BINDING
d21,OXIDOREDUCTASE
d22,HYDROLASE
d23,HYDROLASE
d24,TRANSPORT PROTEIN
d25,METAL BINDING PROTEIN
d26,TRANSFERASE
d27,ISOMERASE
d28,HYDROLASE/Hydrolase Inhibitor
d29,TRANSCRIPTION
d30,OXIDOREDUCTASE
d31,LYASE
d32,MEMBRANE PROTEIN
d33,LYASE
d34,OXIDOREDUCTASE
d35,VIRUS
d36,UNKNOWN FUNCTION
d37,HYDROLASE
d38,SIGNALING PROTEIN
d39,LIGASE
d40,OXIDOREDUCTASE
d41,TRANSCRIPTION REGULATION
d42,Structural Genomics
d43,LIGASE
d44,IMMUNE SYSTEM/PEPTIDE
d45,CELL ADHESION
d46,DNA
d47,VIRUS
d48,DNA BINDING PROTEIN/DNA
d49,HYDROLASE (PHOSPHORIC DIESTER)
d50,TOXIN
d51,HYDROLASE
d52,HYDROLASE
d53,OXIDOREDUCTASE
d54,MEMBRANE PROTEIN
d55,HYDROLASE
d56,SIGNALING PROTEIN
d57,CELL CYCLE
d58,TRANSFERASE/PEPTIDE
d59,TRANSCRIPTION
d60,TRANSFERASE
d61,TRANSFERASE
d62,TRANSFERASE
d63,ISOMERASE
d64,HYDROLASE
d65,METAL TRANSPORT
d66,LIPID TRANSPORT
d67,CHAPERONE
d68,FLUORESCENT PROTEIN
d69,HYDROLASE
d70,CELL CYCLE
d71,DNA
d72,ANTIBIOTIC
d73,CHAPERONE/PROTEIN TRANSPORT
d74,MEMBRANE PROTEIN
d75,PLANT PROTEIN
d76,ISOMERASE
d77,IMMUNE SYSTEM
d78,TRANSCRIPTION
d79,HYDROLASE
d80,UNKNOWN FUNCTION
d81,transferase/transferase inhibitor
d82,RNA binding protein/RNA
d83,TRANSCRIPTION
d84,GENE REGULATION
d85,TRANSCRIPTION
d86,GENE REGULATORY PROTEIN
d87,OXIDOREDUCTASE
d88,SIGNAL PROTEIN
d89,ISOMERASE
d90,OXIDOREDUCTASE
d91,ISOMERASE
d92,STRUCTURAL PROTEIN
d93,DNA
d94,OXIDOREDUCTASE
d95,HYDROLASE
d96,OXIDOREDUCTASE
d97,CHAPERONE
d98,LIGASE
d99,METAL TRANSPORT
d100,IMMUNE SYSTEM
d101,RNA
d102,TRANSFERASE
d103,DNA
d104,IMMUNE SYSTEM
d105,RNA
d106,DE NOVO PROTEIN
d107,OXIDOREDUCTASE
d108,TRANSCRIPTION
d109,TRANSCRIPTION
d110,HYDROLASE/HYDROLASE INHIBITOR
d111,TRANSPORT PROTEIN
d112,TRANSFERASE
d113,TRANSFERASE
d114,TRANSFERASE
d115,TRANSPORT PROTEIN
d116,OXIDOREDUCTASE
d117,VIRAL PROTEIN
d118,RIBOSOME
d119,TRANSFERASE
d120,TRANSFERASE
d121,DNA BINDING PROTEIN
d122,OXYGEN STORAGE/TRANSPORT
d123,OXIDOREDUCTASE
d124,RNA
d125,PROTEIN BINDING
d126,HYDROLASE/HYDROLASE INHIBITOR
d127,TRANSCRIPTION
d128,ISOMERASE
d129,TRANSCRIPTION
d130,HYDROLASE (O-GLYCOSYL)
d131,ELECTRON TRANSPORT
d132,transferase/transferase inhibitor
d133,TRANSFERASE
d134,STRUCTURAL GENOMICS
d135,HYDROLASE (METALLOPROTEASE)
d136,VIRAL PROTEIN
d137,TRANSFERASE
d138,ANTIFUNGAL PROTEIN
d139,HYDROLASE
d140,METAL BINDING PROTEIN
d141,HYDROLASE
d142,HYDROLASE
d143,ISOMERASE
d144,Hydrolase/Hydrolase inhibitor
d145,LYASE
d146,HYDROLASE
d147,IMMUNE SYSTEM
d148,DNA
d149,STRUCTURAL PROTEIN
d150,PEPTIDE BINDING PROTEIN
d151,SIGNALING PROTEIN
d152,ISOMERASE
d153,ISOMERASE
d154,TRANSLATION
d155,MEMBRANE PROTEIN
d156,HYDROLASE
d157,TRANSPORT PROTEIN
d158,LYASE
d159,TRANSFERASE/DNA
d160,PLANT PROTEIN
d161,TRANSFERASE
d162,LIGASE
d163,HYDROLASE
d164,CALCIUM-BINDING PROTEIN
d165,OXIDOREDUCTASE
d166,TRANSFERASE
d167,ISOMERASE
d168,METAL BINDING PROTEIN
d169,HYDROLASE/RECEPTOR
d170,SUGAR BINDING PROTEIN
d171,HYDROLASE
d172,PLANT PROTEIN
d173,CYTOKINE
d174,STRUCTURAL PROTEIN/HYDROLASE
d175,HYDROLASE
d176,RNA BINDING PROTEIN
d177,HYDROLASE/HYDROLASE INHIBITOR
d178,HYDROLASE
d179,CYTOTOXIN
d180,TRANSFERASE/DNA
d181,TRANSFERASE
d182,PLANT PROTEIN
d183,REPLICATION
d184,CELL ADHESION
d185,OXIDOREDUCTASE
d186,ENDOCYTOSIS/EXOCYTOSIS
d187,DNA BINDING PROTEIN
d188,DNA BINDING PROTEIN
d189,Penicillin-binding protein/inhibitor
d190,TRANSFERASE
d191,Ligand binding protein
d192,transferase/dna
d193,OXIDOREDUCTASE
d194,LYASE
d195,ELECTRON TRANSPORT
d196,TRANSFERASE
d197,HYDROLASE
d198,Structural Genomics
d199,TRANSFERASE
d200,OXIDOREDUCTASE
d201,DNA
d202,HYDROLASE
d203,LYASE/LYASE INHIBITOR
d204,SIGNALING PROTEIN
d205,GENE REGULATION
d206,TRANSPORT PROTEIN
d207,TRANSFERASE
d208,ELECTRON TRANSPORT
d209,HYDROLASE
d210,METAL BINDING PROTEIN
d211,TRANSFERASE
d212,CELL ADHESION
d213,STRUCTURAL GENOMICS
d214,HYDROLASE
d215,HYDROLASE/RNA
d216,TRANSFERASE/RNA
d217,REPLICATION
d218,TRANSFERASE/DNA
d219,TRANSFERASE
d220,ELECTRON TRANSPORT
d221,HYDROLASE ACTIVATOR
d222,STRUCTURAL PROTEIN
d223,HYDROLASE
d224,ANTIMICROBIAL PROTEIN
d225,SUGAR BINDING PROTEIN
d226,TRANSFERASE
d227,TRANSPORT PROTEIN
d228,OXYGEN TRANSPORT
d229,DNA
d230,TRANSLATION
d231,HYDROLASE/HYDROLASE INHIBITOR
d232,PROTEIN BINDING
d233,OXIDOREDUCTASE
d234,HYDROLASE/HYDROLASE INHIBITOR
d235,OXIDOREDUCTASE
d236,SIGNALING PROTEIN
d237,UNKNOWN FUNCTION
d238,TRANSCRIPTION
d239,HYDROLASE
d240,Hydrolase/Hydrolase inhibitor
d241,HYDROLASE/HYDROLASE INHIBITOR
d242,RNA
d243,METAL BINDING PROTEIN
d244,OXIDOREDUCTASE
d245,TRANSFERASE
d246,TRANSFERASE
d247,REPLICATION
d248,LYASE
d249,METAL TRANSPORT
d250,LIGASE/SIGNALING PROTEIN
d251,HYDROLASE
d252,TRANSCRIPTION
d253,HYDROLASE
d254,VIRAL PROTEIN
d255,RNA BINDING PROTEIN/RNA
d256,CELL CYCLE
d257,LYASE
d258,HYDROLASE
d259,HYDROLASE
d260,IMMUNE SYSTEM
d261,SIGNALING PROTEIN
d262,LIGASE
d263,OXIDOREDUCTASE
d264,HYDROLASE(O-GLYCOSYL)
d265,BLOOD CLOTTING
d266,TRANSPORT PROTEIN
d267,OXIDOREDUCTASE
d268,ENDOGLUCANASE
d269,HYDROLASE
d270,LIPID BINDING PROTEIN
d271,TRANSFERASE
d272,TRANSFERASE
d273,TRANSFERASE/DNA
d274,RECEPTOR PROTEIN
d275,STRUCTURAL GENOMICS
d276,MEMBRANE PROTEIN
d277,HYDROLASE
d278,PHOSPHOTRANSFERASE
d279,OXIDOREDUCTASE/ELECTRON TRANSPORT
d280,METAL TRANSPORT
d281,RNA
d282,HYDROLASE/HYDROLASE INHIBITOR
d283,HYDROLASE/DNA
d284,ISOMERASE
d285,OXIDOREDUCTASE
d286,TRANSFERASE/TRANSFERASE inhibitor
d287,HYDROLASE
d288,TRANSFERASE
d289,REPLICATION/DNA
d290,OXIDOREDUCTASE
d291,TRANSFERASE
d292,OXIDOREDUCTASE
d293,OXYGEN BINDING
d294,LIPID BINDING PROTEIN
d295,IMMUNE SYSTEM/HYDROLASE
d296,STRUCTURAL GENOMICS
d297,TRANSFERASE
d298,VIRAL PROTEIN
d299,HYDROLASE
d300,TRANSFERASE/TRANSFERASE INHIBITOR
d301,TRANSFERASE
d302,GENE REGULATION
d303,HYDROLASE
d304,CYTOKINE
d305,NUCLEAR PROTEIN
d306,HYDROLASE
d307,transcription regulator
d308,CELL ADHESION
d309,Oxidoreductase/Oxidoreductase inhibitor
d310,HYDROLASE
d311,RECOMBINATION/DNA
d312,PEPTIDE NUCLEIC ACID/DNA
d313,TRANSPORT PROTEIN
d314,HYDROLASE/TRANSCRIPTION
d315,OXIDOREDUCTASE
d316,STRUCTURAL GENOMICS
d317,VIRAL PROTEIN
d318,IMMUNE SYSTEM
d319,TRANSFERASE
d320,NUCLEAR TRANSPORT
d321,TRANSFERASE
d322,LIPID TRANSPORT
d323,LYASE
d324,TRANSFERASE
d325,replication
d326,TRANSFERASE
d327,HYDROLASE
d328,TRANSFERASE
d329,SIGNALING PROTEIN
d330,PROTEIN BINDING
d331,TRANSFERASE
d332,TRANSFERASE
d333,MEMBRANE TRANSPORT
d334,TRANSFERASE
d335,ION CHANNEL
d336,LIGASE/DNA BINDING PROTEIN
d337,HYDROLASE/DNA
d338,HYDROLASE REGULATOR
d339,VIRAL PROTEIN
d340,OXIDOREDUCTASE
d341,TRANSFERASE
d342,CELL ADHESION
d343,HYDROLASE
d344,LYASE
d345,TRANSCRIPTION
d346,DNA BINDING PROTEIN
d347,HYDROLASE
d348,HYDROLASE
d349,OXIDOREDUCTASE
d350,TRANSFERASE
d351,HYDROLASE
d352,OXIDOREDUCTASE
d353,CYTOKINE
d354,OXIDOREDUCTASE
d355,BIOSYNTHETIC PROTEIN
d356,TRANSFERASE
d357,ELECTRON TRANSPORT
d358,OXIDOREDUCTASE
d359,TRANSFERASE
d360,IMMUNE SYSTEM
d361,SUGAR BINDING PROTEIN
d362,HYDROLASE/HYDROLASE INHIBITOR
d363,TRANSFERASE
