structureId,experimentalTechnique,macromoleculeType,residueCount,resolution,structureMolecularWeight,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,pdbxDetails,phValue,publicationYear,
2OMZ,X-RAY DIFFRACTION,Protein,571,1.6,61656.02,"VAPOR DIFFUSION, HANGING DROP",298,2.06,40.29,"PEG 4000, CaCl2, Na-Acetate, Tris/MES, pH 6.0, vapor diffusion, hanging drop, temperature 298K",6,2007,
4W7W,X-RAY DIFFRACTION,Protein,332,1.05,37529.15,"VAPOR DIFFUSION, SITTING DROP",291,2.28,46.07,"0.1 M sodium cacodylate, 0.2 M sodium acetate, 28% PEG8000, 5% glycerol",6.5,,
2VBF,X-RAY DIFFRACTION,Protein,1140,1.6,127712.31,,,1.9,34.71,,,2007,
2PO8,SOLUTION NMR,Protein,34,,3483.04,,,,,,,,
2DLL,SOLUTION NMR,Protein,121,,13910.57,,,,,,,,
2ZAT,X-RAY DIFFRACTION,Protein,1040,1.5,114209.91,"VAPOR DIFFUSION, HANGING DROP",293,2.55,51.68,"1.2M sodium acetate, 20%(v/v) glycerol, 0.1M Hepes/NaOH buffer, pH 7.50, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2008,
2DES,X-RAY DIFFRACTION,DNA,12,1.5,4975.99,"VAPOR DIFFUSION, SITTING DROP",,2.45,49.82,"pH 5.50, VAPOR DIFFUSION, SITTING DROP",5.5,1993,
5YDF,X-RAY DIFFRACTION,Protein,202,1.4,23300.7,"VAPOR DIFFUSION, HANGING DROP",293,2.15,42.72,"PEG 3350, Tris, magnesium chloride",,2017,
2HPL,X-RAY DIFFRACTION,Protein,105,1.8,11780.33,,281,2.31,46.75,"18-22% PEG 5000 MME and 14-18% Tacsimate, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 281K",8,2007,
4H8Z,X-RAY DIFFRACTION,Protein,129,1.2,14499.59,"VAPOR DIFFUSION, HANGING DROP",298,1.99,38.31,"7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, VAPOR DIFFUSION, HANGING DROP, temperature 298K",4.8,2013,
5DSA,X-RAY DIFFRACTION,DNA,20,1.69,6202.17,"VAPOR DIFFUSION, HANGING DROP",292,2.33,47.19,"0.78 mM DNA, 1.0 mM Spermine, 3.5 mM CaCl2, 25 mM sodium cacodylate",7,2016,
3HV9,X-RAY DIFFRACTION,Protein,265,2.3,29614.52,"VAPOR DIFFUSION, HANGING DROP",298,3.82,67.8,"Ammonium sulfate, PEG 8000, pH 7.1, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7.1,2009,
1P65,X-RAY DIFFRACTION,Protein,146,2.6,16344.06,"VAPOR DIFFUSION, HANGING DROP",288,2.21,44.26,"PEG3350, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 288K",6.5,2003,
1UBW,X-RAY DIFFRACTION,Protein,367,2.5,42375.82,,,3.22,61.76,,,1996,
5CAP,X-RAY DIFFRACTION,Protein,331,2.4,38160.04,"VAPOR DIFFUSION, HANGING DROP",292,3.67,66.5,"PEG 10000, ethylene glycol",7.5,2015,
